Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
SamTomkins,0,0,78,2,0,0,0,0,0,1,0,1,0,42,2.63,18,1,0,0,2,0,1,0,0,5,0,0,2,8,0,1,1,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Sam_Tomkins.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,England
JohnBateman,0,0,87,0,0,0,0,0,4,0,0,0,0,6,0.55,38,1,1,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/John_Bateman.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,England
VictorRadley,0,0,152,3,0,0,0,0,0,0,0,0,0,35,1.94,51,0,0,0,0,0,0,0,0,34,0,0,0,0,0,2,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Victor_Radley.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,England
MikeMcMeeken,0,0,29,0,0,0,0,0,0,0,0,0,0,1,0.25,11,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Mike_McMeeken.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,England
MorganKnowles,0,0,48,0,0,0,0,0,0,0,0,0,0,1,0.17,21,0,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,1,5,0,1,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Morgan_Knowles.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,England
LukeThompson,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Luke_Thompson.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,England
MikeCooper,0,0,88,0,0,0,0,0,0,0,0,1,0,1,0.11,31,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Mike_Cooper.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,England
KaiPearce-Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Kai_Pearce-Paul.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,England
JosephSuaali'i,0,0,245,0,0,0,0,0,0,0,1,0,0,5,0.25,106,6,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Joseph_Suaalii.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,Samoa
BrianTo'o,0,0,232,0,0,0,0,0,0,0,0,1,0,1,0.04,100,6,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Brian_Too.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,Samoa
StephenCrichton,3,2,136,0,1,1,0,0,15,0,0,1,0,6,0.6,22,0,2,0,0,0,0,1,0,9,0,0,0,0,0,0,0,1,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Stephen_Crichton.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,Samoa
TimLafai,0,0,187,1,0,0,0,0,8,0,2,4,4,4,0.24,77,5,2,0,0,0,0,0,0,14,1,0,1,1,0,1,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Tim_Lafai.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,Samoa
TaylanMay,0,0,166,1,0,0,0,0,0,0,0,1,1,5,0.31,61,3,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Taylan_May.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,Samoa
JaromeLuai,0,0,88,1,0,0,0,0,0,2,1,4,4,35,1.94,9,5,0,3,0,0,0,0,0,17,0,0,0,6,0,0,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Jarome_Luai.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,Samoa
AnthonyMilford,0,0,55,0,0,1,1,0,0,0,0,1,1,38,2.92,4,1,0,0,2,0,0,0,0,10,0,0,1,9,0,2,1,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Anthony_Milford.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,Samoa
RoyceHunt,0,0,48,0,0,0,0,0,0,0,0,1,1,0,0,21,2,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Royce_Hunt.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,Samoa
Fa'amanuBrown,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Faamanu_Brown.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,Samoa
JuniorPaulo,0,0,136,0,0,0,0,0,0,1,0,1,1,7,0.44,54,5,0,0,1,0,0,0,0,34,0,0,0,0,0,0,0,0,2,2,0,1,0,1,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Junior_Paulo.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,Samoa
LigiSao,0,0,121,1,0,0,0,0,4,0,1,0,0,5,0.42,42,2,1,0,0,0,0,0,0,41,0,0,0,0,0,1,0,0,1,7,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Ligi_Sao.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,Samoa
JaydnSu'a,0,0,91,0,0,0,0,0,0,0,0,0,0,2,0.22,39,2,0,0,0,0,0,0,0,38,0,0,0,0,0,1,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Jaydn_Sua.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,Samoa
OregonKaufusi,0,0,56,0,0,0,0,0,0,0,0,0,0,3,0.43,18,0,0,0,0,0,0,0,0,28,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Oregon_Kaufusi.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,Samoa
ChanelHarris-Tavita,0,0,27,2,0,0,0,0,0,1,0,0,0,65,16.25,10,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Chanel_Harris-Tavita.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,Samoa
JoshPapali'i,0,0,104,0,0,0,0,0,0,0,0,0,0,2,0.2,44,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Josh_Papalii.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,Samoa
SpencerLeniu,0,0,85,0,0,0,0,0,0,0,0,1,1,1,0.14,34,2,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Spencer_Leniu.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,Samoa
KelmaTuilagi,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Kelma_Tuilagi.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,Samoa
KenSio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Ken_Sio.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,Samoa
