Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
JamesTedesco,0,0,116,1,0,0,0,0,0,0,1,0,0,1,0.1,36,4,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/James_Tedesco.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Australia
CampbellGraham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Campbell_Graham.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Australia
JacobKiraz,0,0,115,0,0,0,0,0,0,0,0,2,2,7,0.39,44,1,0,0,0,0,3,0,0,1,0,0,0,0,0,3,0,0,0,3,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Jacob_Kiraz.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Lebanon
JoshMansour,0,0,98,1,0,0,0,0,4,0,0,0,0,3,0.25,40,2,1,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Josh_Mansour.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Lebanon
BradMorkos,0,0,36,0,0,0,0,0,0,0,0,1,0,4,0.8,10,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Brad_Morkos.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Lebanon
ReeceRobinson,0,0,24,0,0,0,0,0,0,0,0,0,0,6,3,13,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,1,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Reece_Robinson.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Lebanon
AbbasMiski,0,0,66,0,0,0,0,0,0,0,0,0,0,1,0.09,18,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Abbas_Miski.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Lebanon
AdamDoueihi,0,0,132,0,0,0,1,0,0,1,0,1,1,19,0.95,47,0,0,0,0,0,1,0,1,20,0,0,1,3,0,1,1,1,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Adam_Doueihi.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Lebanon
MitchellMoses,0,1,103,0,0,0,0,0,0,0,1,0,0,36,2.12,8,1,0,1,0,0,0,0,0,7,0,0,5,14,1,2,1,1,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Mitchell_Moses.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Lebanon
JamesRoumanos,0,0,85,0,0,0,0,0,0,0,0,0,0,3,0.23,37,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,1,0,7,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/James_Roumanos.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Lebanon
AnthonyLayoun,0,0,9,1,0,0,0,0,0,0,0,0,0,23,23,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Anthony_Layoun.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Lebanon
KhalilRahme,0,0,104,0,0,0,0,0,0,0,0,0,0,2,0.18,48,1,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Khalil_Rahme.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Lebanon
ElieEl-Zakham,0,0,147,0,0,0,0,0,0,0,0,0,0,2,0.14,57,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Elie_El-Zakham.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Lebanon
CharbelTasipale,0,0,110,0,0,0,0,0,0,0,1,0,0,0,0,61,1,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Charbel_Tasipale.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Lebanon
AndrewKazzi,0,0,48,1,0,0,0,0,0,0,0,0,0,23,5.75,20,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,7,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Andrew_Kazzi.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Lebanon
MichaelTannous,0,0,14,2,0,0,0,0,0,1,0,0,0,39,13,5,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Michael_Tannous.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Lebanon
KhaledRajab,0,0,33,0,0,0,0,0,0,0,0,0,0,19,1.58,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Khaled_Rajab.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Lebanon
JalalBazzaz,0,0,29,0,0,0,0,0,0,0,0,0,0,1,0.33,13,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Jalal_Bazzaz.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Lebanon
JaxsonRahme,0,0,83,0,0,0,0,0,0,0,0,0,0,1,0.13,53,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,0,1,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Jaxson_Rahme.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Lebanon
BilalMaarbani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Bilal_Maarbani.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Lebanon
