Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
JamesTedesco,0,0,320,2,0,0,0,0,0,0,0,1,1,7,0.21,80,8,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/James_Tedesco.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,Australia
JordanRapana,3,0,163,1,0,0,0,0,6,0,1,1,1,6,0.35,44,8,0,0,0,0,2,0,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Jordan_Rapana.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,New Zealand
PetaHiku,0,0,116,0,0,0,0,0,0,0,0,0,0,2,0.17,54,1,0,0,0,0,1,0,0,16,1,0,0,0,0,3,0,1,1,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Peta_Hiku.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,New Zealand
CharnzeNicoll-Klokstad,0,0,139,0,0,0,0,0,0,1,0,0,0,8,0.5,33,4,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,1,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Charnze_Nicoll-Klokstad.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,New Zealand
RonaldoMulitalo,0,0,128,0,0,0,0,0,0,0,2,1,1,3,0.27,21,4,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Ronaldo_Mulitalo.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,New Zealand
DylanBrown,0,0,178,1,0,0,0,0,4,0,0,3,3,57,2.19,38,1,1,0,1,0,0,0,0,24,0,0,0,5,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Dylan_Brown.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,New Zealand
JahromeHughes,0,0,103,0,0,0,2,0,4,0,0,1,1,38,2.53,13,1,1,0,0,0,0,0,0,13,0,0,2,18,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Jahrome_Hughes.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,New Zealand
JesseBromwich,0,0,34,0,0,0,0,0,0,0,0,0,0,3,0.75,8,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Jesse_Bromwich.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,New Zealand
BrandonSmith,0,0,41,3,0,0,0,0,0,0,0,0,0,70,11.67,8,1,0,0,0,0,0,0,0,35,0,0,1,2,0,0,0,0,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Brandon_Smith.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,New Zealand
JamesFisher-Harris,0,0,144,0,0,0,0,0,0,0,0,1,1,7,0.41,43,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/James_Fisher-Harris.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,New Zealand
IsaiahPapali'i,0,0,151,0,0,0,0,0,0,1,0,2,2,6,0.3,60,3,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Isaiah_Papalii.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,New Zealand
BritonNikora,0,0,33,0,0,0,1,0,0,0,0,1,1,3,0.75,12,0,0,0,0,0,0,0,0,31,0,0,0,1,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Briton_Nikora.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,New Zealand
JosephTapine,0,0,143,0,0,0,0,0,0,0,0,4,4,0,0,48,1,0,0,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Joseph_Tapine.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,New Zealand
KieranForan,0,0,2,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Kieran_Foran.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,New Zealand
MosesLeota,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,30,0,0,0,0,0,1,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Moses_Leota.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,New Zealand
NelsonAsofa-Solomona,0,0,121,0,0,0,0,0,0,0,0,2,2,0,0,42,5,0,0,0,0,0,0,0,30,0,0,0,0,0,1,0,2,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Nelson_Asofa-Solomona.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,New Zealand
IsaacLiu,0,0,94,0,0,0,0,0,0,0,0,0,0,3,0.33,31,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Isaac_Liu.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,New Zealand
KenneathBromwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Kenneath_Bromwich.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,New Zealand
